support,friends,education,female,age,attend,ideology,party
1,2,0,0,30,2,3,Democrat
1,2,0,1,35,3,3,Independent
0,1,0,0,78,4,2,Republican
0,1,0,0,60,4,2,Independent
1,1,0,0,19,2,2,Republican
1,1,0,0,56,2,4,Independent
0,3,0,0,99,2,2,Republican
1,3,0,0,50,2,2,Democrat
1,3,0,0,33,2,4,Independent
1,3,0,1,18,2,3,Independent
0,2,0,0,60,5,4,Independent
1,2,0,0,81,4,3,Independent
1,2,0,0,65,2,2,Democrat
1,2,0,0,25,2,3,Republican
1,2,0,0,56,1,2,Democrat
0,2,0,0,64,1,3,Republican
1,2,0,0,43,1,3,Independent
1,2,0,0,19,0,2,Democrat
1,2,0,1,31,4,4,Independent
0,2,0,1,59,3,1,Republican
1,2,0,1,33,1,1,Independent
0,1,0,0,63,2,3,Democrat
1,1,0,0,26,0,3,Independent
0,1,0,1,19,4,4,Independent
0,1,0,1,68,2,4,Democrat
0,1,0,1,85,2,4,Democrat
0,1,0,1,75,1,4,Republican
0,3,0,0,49,5,1,Independent
0,3,0,0,40,5,2,Democrat
1,3,0,0,40,4,2,Republican
0,3,0,0,74,4,3,Democrat
1,3,0,0,19,2,1,Independent
1,3,0,0,47,2,2,Republican
1,3,0,0,50,2,2,Democrat
0,3,0,0,54,2,2,Democrat
1,3,0,0,35,2,2,Independent
0,3,0,0,49,1,4,Republican
1,3,0,0,65,0,5,Democrat
0,3,0,1,61,5,3,Democrat
1,3,0,1,47,5,3,Democrat
0,3,0,1,58,5,3,Democrat
0,3,0,1,52,5,4,Democrat
0,3,0,1,60,4,2,Republican
1,3,0,1,46,4,2,Democrat
0,3,0,1,18,4,3,Republican
1,3,0,1,19,4,5,Democrat
1,3,0,1,22,3,1,Republican
1,3,0,1,65,3,3,Republican
1,3,0,1,49,2,3,Democrat
1,3,0,1,19,2,4,Independent
1,3,0,1,33,1,3,Democrat
1,3,0,1,20,1,4,Democrat
1,3,0,1,32,0,4,Independent
1,3,0,1,82,0,5,Democrat
1,3,0,1,30,0,5,Democrat
1,3,0,1,33,0,5,Democrat
0,2,0,0,18,5,1,Republican
1,2,0,0,41,5,1,Independent
0,2,0,0,62,5,2,Independent
1,2,0,0,19,5,4,Independent
0,2,0,0,62,4,2,Republican
0,2,0,0,58,4,2,Republican
1,2,0,0,59,4,2,Republican
0,2,0,0,34,4,2,Democrat
1,2,0,0,30,4,4,Independent
1,2,0,0,49,3,2,Independent
0,2,0,0,47,3,3,Independent
1,2,0,0,56,3,4,Independent
0,2,0,0,60,2,2,Democrat
1,2,0,0,39,2,2,Independent
0,2,0,0,48,2,2,Independent
1,2,0,0,61,1,2,Republican
1,2,0,0,22,1,2,Republican
0,2,0,0,49,1,4,Democrat
