rank,name,location,peer_rating,is_enroll,is_tot_fac,iw_nonres_tuition,fr_sf_ratio,fr_phd_fac_ratio,fo_tot_pubs,fo_avg_pubs,fo_tot_res,fo_avg_res,sr_gre_v,sr_gre_q,sr_doc_accept
1,Vanderbilt University,"Nashville, TN",4.6,808,90,20544,2.6,0.6,362,4.02,40.6,455.9,162,158,5.5
2,Johns Hopkins University ,"Baltimore, MD",3.8,1404,51,12000,0.3,0,453,8.88,43.3,849.8,164,152,24.1
3,Harvard University ,"Cambridge, MA",4.4,945,52,38480,4.7,0.7,1135,21.83,31.1,598.1,163,158,6.2
4,University of Texas-Austin ,"Austin, TX",4.1,1225,139,16338,4.5,0.9,858,6.17,60.9,438.4,159,152,19.4
5,Stanford University ,"Stanford, CA",4.7,380,49,41250,3.9,0.5,764,15.59,21,437.2,161,156,6.4
6,"Teachers College, Columbia University ","New York, NY",4.4,5034,148,15432,5.3,1.6,638,4.31,47.5,322.9,158,153,19.3
7,University of Pennsylvania ,"Philadelphia, PA",4.1,1222,65,42224,1.9,0.3,678,10.43,30.4,468,162,156,6.3
8,University of California-Los Angeles ,"Los Angeles, CA",4.2,795,45,15102,9.1,1.8,724,16.09,31.3,696.2,158,152,29
8,University of Oregon ,"Eugene, OR",3.5,677,37,20898,3.6,0.7,360,9.73,34.8,965.8,159,152,17.1
10,University of Wisconsin-Madison ,"Madison, WI",4.3,1010,100,25166,4.2,1.1,1102,11.02,35.5,358.4,157,153,29.1
11,University of Michigan-Ann Arbor ,"Ann Arbor, MI",4.4,473,48,39666,5.1,0.5,1010,21.04,22,467.2,157,154,21.5
12,University of Washington ,"Seattle, WA",4,971,55,26241,5.2,1.3,798,14.51,39.4,729.5,155,152,38.3
12,University of California-Berkeley ,"Berkeley, CA",4.3,344,33,26322,8.3,1.2,502,15.21,16.1,502.6,159,152,16.9
14,Northwestern University ,"Evanston, IL",3.9,378,32,43380,2.1,0.2,404,12.63,12.5,403.1,161,153,8.9
15,Michigan State University ,"East Lansing, MI",4.3,2051,108,14472,5.2,0.6,972,9,32.3,301.8,156,151,37.1
16,Ohio State University ,"Columbus, OH",3.9,1161,173,28648,2,0.4,887,5.13,40.5,235.2,156,153,34
