rank,school,peer_rating,enroll,ft_students,ft_fac,nonres_tuition,sf_ratio,pct_doc,ug_gpa,gre,doc_acc,tot_pubs,tot_res
1,"Teachers College, Columbia University",4.2,4471,3192,131,45912,8.4,23.89,3.5,313,12.1,789,65.18
1,University of Michigan--Ann Arbor,4.4,455,303,45,53178,4.2,30.77,3.3,316,13.7,1802,40.9
3,Northwestern University,4.1,382,228,39,56067,2.2,22.25,3.7,321,7.8,719,29.21
3,University of Pennsylvania,4.4,1654,1091,75,42864,4.8,23.76,3.3,312,14.6,1176,50.41
3,University of Wisconsin--Madison,4.3,1136,729,123,24054,5.4,51.06,3.5,305,15.9,1396,64.5
6,Vanderbilt University (Peabody),4.5,1007,809,97,53160,2.6,24.93,3.6,321,5.4,1195,49.91
7,Stanford University,4.6,343,343,51,56487,4.3,46.65,3,327,3.9,1415,25.22
7,University of California--Los Angeles,4.3,701,701,43,26802,7.1,51.64,3.4,310,28.1,1058,46.52
9,Harvard University,4.4,868,707,42,54032,3.6,14.06,3.9,320,5.7,2148,36.73
9,New York University (Steinhardt),4.1,2163,1747,79,48480,4.6,14.52,3.7,314,4.7,886,71.43
11,University of California--Irvine,3.9,243,241,31,26802,5.1,41.56,,324,18.5,721,31.6
11,University of Washington,4,826,640,51,32074,3.5,22.15,3.8,307,16.3,1326,34.87
13,Johns Hopkins University,4.1,1732,407,19,41280,2.5,15.18,3.4,314,35.8,981,28.31
14,"University of California, Berkeley",4.4,243,243,27,26802,3.3,57.2,3.6,321,4.9,771,14.6
14,University of Oregon,3.7,472,405,47,27990,1.5,32.63,3.5,308,12,490,57.72
16,University of Texas--Austin,4.1,785,610,106,18032,2.9,58.34,3.7,304,25.8,1386,38.04
16,University of Virginia,4.2,1173,445,69,14376,2.3,23.27,3.5,270,13.4,1051,35.54
18,Arizona State University (Fulton),3.7,5035,797,79,24498,3.1,7.15,3.4,314,28.1,1557,73.06
18,University of Florida,3.9,1302,354,64,27336,2.9,39.78,3.6,305,44.6,1303,52.02
18,University of Kansas,3.7,878,380,68,24624,3.7,40.21,3.4,307,50.8,887,61.46
21,Boston College (Lynch),4,867,492,61,38400,3.8,17.07,3.5,320,7.3,433,25.53
21,Florida State University,3.6,1494,633,78,26664,5.3,32.73,3.8,308,30.5,868,35.42
21,Michigan State University,4.2,980,485,112,40488,2.7,38.67,3.6,309,29.1,1879,19.32
21,University of North Carolina--Chapel Hill,4.1,293,201,40,28884,2.8,46.76,3.5,313,22.6,1199,19.93
25,Ohio State University,4.1,1064,546,127,38693,3.7,43.61,3.3,304,59.6,1588,25.22
25,University of Minnesota--Twin Cities,3.8,1725,1059,132,57168,5.9,34.9,3.6,312,24.6,1358,42.3
27,University of Delaware,3.5,347,205,46,23496,2.7,42.65,3.3,306,41.2,535,15
27,University of Maryland--College Park,4.1,750,481,77,42456,2.2,56.8,3.4,320,24,973,13.91
